name,description
114年9月8日至114年9月14日資料.ods,114年9月8日至114年9月14日資料
114年9月15日至114年9月21日資料.ods,114年9月15日至114年9月21日資料
114年9月22日至114年9月28日資料.ods,114年9月22日至114年9月28日資料
114年9月29日至114年10月5日資料.ods,114年9月29日至114年10月5日資料
114年10月6日至114年10月12日資料.ods,114年10月6日至114年10月12日資料
114年10月13日至114年10月19日資料.ods,114年10月13日至114年10月19日資料
114年10月20日至114年10月26日資料.ods,114年10月20日至114年10月26日資料
114年10月27日至114年11月2日資料.ods,114年10月27日至114年11月2日資料
114年11月3日至114年11月9日資料.ods,114年11月3日至114年11月9日資料
114年11月10日至114年11月16日資料.ods,114年11月10日至114年11月16日資料
